program,mode,event,event_alias,repeat_count,median_value
llvmss_misc_flops-6,wasm-jit,branch-misses,branch_misses,5,67817.0
llvmss_misc_flops-6,wasm-jit,cpu-cycles,cpu_cycles,5,2847700139.0
llvmss_misc_flops-6,wasm-jit,r00c4,branches_retired,5,160487068.0
llvmss_misc_flops-6,wasm-jit,r01c4,conditional_branches,5,157206886.0
llvmss_misc_flops-6,wasm-jit,r1c0,instructions_retired,5,5804305118.0
llvmss_misc_flops-6,wasm-jit,r81d0,all_loads_retired,5,786813839.0
llvmss_misc_flops-6,wasm-jit,r82d0,all_stores_retired,5,3434595.0
llvmss_misc_flops-7,native,L1-icache-load-misses,L1_icache_load_misses,5,119737.0
llvmss_misc_flops-7,native,branch-misses,branch_misses,5,9619.0
llvmss_misc_flops-7,native,cpu-cycles,cpu_cycles,5,1913616886.0
llvmss_misc_flops-7,native,r00c4,branches_retired,5,157130998.0
llvmss_misc_flops-7,native,r01c4,conditional_branches,5,156409243.0
llvmss_misc_flops-7,native,r1c0,instructions_retired,5,3286270181.0
llvmss_misc_flops-7,native,r81d0,all_loads_retired,5,1245250.0
llvmss_misc_flops-7,native,r82d0,all_stores_retired,5,777348.0
llvmss_misc_flops-7,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,554104.0
llvmss_misc_flops-7,wasm-aot,branch-misses,branch_misses,5,56784.0
llvmss_misc_flops-7,wasm-aot,cpu-cycles,cpu_cycles,5,1894385766.0
llvmss_misc_flops-7,wasm-aot,r00c4,branches_retired,5,159818918.0
llvmss_misc_flops-7,wasm-aot,r01c4,conditional_branches,5,157078351.0
llvmss_misc_flops-7,wasm-aot,r1c0,instructions_retired,5,2518918839.0
llvmss_misc_flops-7,wasm-aot,r81d0,all_loads_retired,5,317036110.0
llvmss_misc_flops-7,wasm-aot,r82d0,all_stores_retired,5,2840993.0
llvmss_misc_flops-7,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,622977.0
llvmss_misc_flops-7,wasm-jit,branch-misses,branch_misses,5,66901.0
llvmss_misc_flops-7,wasm-jit,cpu-cycles,cpu_cycles,5,1896653309.0
llvmss_misc_flops-7,wasm-jit,r00c4,branches_retired,5,160137718.0
llvmss_misc_flops-7,wasm-jit,r01c4,conditional_branches,5,157148942.0
llvmss_misc_flops-7,wasm-jit,r1c0,instructions_retired,5,2520995521.0
llvmss_misc_flops-7,wasm-jit,r81d0,all_loads_retired,5,317557290.0
llvmss_misc_flops-7,wasm-jit,r82d0,all_stores_retired,5,3112100.0
llvmss_misc_flops-8,native,L1-icache-load-misses,L1_icache_load_misses,5,158719.0
llvmss_misc_flops-8,native,branch-misses,branch_misses,5,10820.0
llvmss_misc_flops-8,native,cpu-cycles,cpu_cycles,5,2947824018.0
llvmss_misc_flops-8,native,r00c4,branches_retired,5,157500096.0
llvmss_misc_flops-8,native,r01c4,conditional_branches,5,156474500.0
llvmss_misc_flops-8,native,r1c0,instructions_retired,5,5944656791.0
llvmss_misc_flops-8,native,r81d0,all_loads_retired,5,314281057.0
llvmss_misc_flops-8,native,r82d0,all_stores_retired,5,1117437.0
llvmss_misc_flops-8,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,594997.0
llvmss_misc_flops-8,wasm-aot,branch-misses,branch_misses,5,58397.0
llvmss_misc_flops-8,wasm-aot,cpu-cycles,cpu_cycles,5,2983499183.0
llvmss_misc_flops-8,wasm-aot,r00c4,branches_retired,5,316472721.0
llvmss_misc_flops-8,wasm-aot,r01c4,conditional_branches,5,896602.0
llvmss_misc_flops-8,wasm-aot,r1c0,instructions_retired,5,7208800989.0
llvmss_misc_flops-8,wasm-aot,r81d0,all_loads_retired,5,1098883885.0
llvmss_misc_flops-8,wasm-aot,r82d0,all_stores_retired,5,471971960.0
llvmss_misc_flops-8,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,659494.0
llvmss_misc_flops-8,wasm-jit,branch-misses,branch_misses,5,67954.0
llvmss_misc_flops-8,wasm-jit,cpu-cycles,cpu_cycles,5,2974985553.0
llvmss_misc_flops-8,wasm-jit,r00c4,branches_retired,5,316751894.0
llvmss_misc_flops-8,wasm-jit,r01c4,conditional_branches,5,957240.0
llvmss_misc_flops-8,wasm-jit,r1c0,instructions_retired,5,7210600609.0
llvmss_misc_flops-8,wasm-jit,r81d0,all_loads_retired,5,1099334985.0
llvmss_misc_flops-8,wasm-jit,r82d0,all_stores_retired,5,472193288.0
llvmss_misc_mandel-2,native,L1-icache-load-misses,L1_icache_load_misses,5,156781.0
llvmss_misc_mandel-2,native,branch-misses,branch_misses,5,15592.0
llvmss_misc_mandel-2,native,cpu-cycles,cpu_cycles,5,2121840840.0
llvmss_misc_mandel-2,native,r00c4,branches_retired,5,471851799.0
llvmss_misc_mandel-2,native,r01c4,conditional_branches,5,157075435.0
llvmss_misc_mandel-2,native,r1c0,instructions_retired,5,3457963109.0
llvmss_misc_mandel-2,native,r81d0,all_loads_retired,5,1870980.0
llvmss_misc_mandel-2,native,r82d0,all_stores_retired,5,1239005.0
llvmss_misc_mandel-2,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,647938.0
llvmss_misc_mandel-2,wasm-aot,branch-misses,branch_misses,5,63384.0
llvmss_misc_mandel-2,wasm-aot,cpu-cycles,cpu_cycles,5,2197073830.0
llvmss_misc_mandel-2,wasm-aot,r00c4,branches_retired,5,945202820.0
llvmss_misc_mandel-2,wasm-aot,r01c4,conditional_branches,5,157862489.0
llvmss_misc_mandel-2,wasm-aot,r1c0,instructions_retired,5,4414431761.0
llvmss_misc_mandel-2,wasm-aot,r81d0,all_loads_retired,5,476080445.0
llvmss_misc_mandel-2,wasm-aot,r82d0,all_stores_retired,5,317311932.0
llvmss_misc_mandel-2,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,692293.0
llvmss_misc_mandel-2,wasm-jit,branch-misses,branch_misses,5,73203.0
llvmss_misc_mandel-2,wasm-jit,cpu-cycles,cpu_cycles,5,2197603090.0
llvmss_misc_mandel-2,wasm-jit,r00c4,branches_retired,5,945498092.0
llvmss_misc_mandel-2,wasm-jit,r01c4,conditional_branches,5,157926895.0
llvmss_misc_mandel-2,wasm-jit,r1c0,instructions_retired,5,4416346493.0
llvmss_misc_mandel-2,wasm-jit,r81d0,all_loads_retired,5,476548802.0
llvmss_misc_mandel-2,wasm-jit,r82d0,all_stores_retired,5,317549445.0
llvmss_misc_matmul_f64_4x4,native,L1-icache-load-misses,L1_icache_load_misses,5,125442.0
llvmss_misc_matmul_f64_4x4,native,branch-misses,branch_misses,5,11162.0
llvmss_misc_matmul_f64_4x4,native,cpu-cycles,cpu_cycles,5,1454296035.0
llvmss_misc_matmul_f64_4x4,native,r00c4,branches_retired,5,150732953.0
llvmss_misc_matmul_f64_4x4,native,r01c4,conditional_branches,5,50137494.0
llvmss_misc_matmul_f64_4x4,native,r1c0,instructions_retired,5,6804174791.0
llvmss_misc_matmul_f64_4x4,native,r81d0,all_loads_retired,5,1651032326.0
llvmss_misc_matmul_f64_4x4,native,r82d0,all_stores_retired,5,750646041.0
llvmss_misc_matmul_f64_4x4,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,652937.0
llvmss_misc_matmul_f64_4x4,wasm-aot,branch-misses,branch_misses,5,63603.0
llvmss_misc_matmul_f64_4x4,wasm-aot,cpu-cycles,cpu_cycles,5,3222811936.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r00c4,branches_retired,5,204079643.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r01c4,conditional_branches,5,50920203.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r1c0,instructions_retired,5,13571960803.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r81d0,all_loads_retired,5,4255290728.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r82d0,all_stores_retired,5,1903325054.0
llvmss_misc_matmul_f64_4x4,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,684072.0
llvmss_misc_matmul_f64_4x4,wasm-jit,branch-misses,branch_misses,5,69498.0
llvmss_misc_matmul_f64_4x4,wasm-jit,cpu-cycles,cpu_cycles,5,3216318514.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r00c4,branches_retired,5,204405985.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r01c4,conditional_branches,5,50991830.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r1c0,instructions_retired,5,13574052383.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r81d0,all_loads_retired,5,4255817213.0
