program,runtime,run_index,internal_ms,ok,error
alloc_small_objects,wasm-jit,24,0.309872,1,
alloc_small_objects,wasm-aot,24,0.298334,1,
alloc_small_objects,native,25,0.136144,1,
alloc_small_objects,wasm-jit,25,0.285809,1,
alloc_small_objects,wasm-aot,25,0.29087,1,
alloc_small_objects,native,26,0.136119,1,
alloc_small_objects,wasm-jit,26,0.298265,1,
alloc_small_objects,wasm-aot,26,0.298752,1,
alloc_small_objects,native,27,0.136153,1,
alloc_small_objects,wasm-jit,27,0.286864,1,
alloc_small_objects,wasm-aot,27,0.347579,1,
alloc_small_objects,native,28,0.138352,1,
alloc_small_objects,wasm-jit,28,0.286598,1,
alloc_small_objects,wasm-aot,28,0.28724,1,
