program,mode,runtime,run_index,internal_ms,external_ms,ok,error
llvmss_stanford_oscar,jit,native,2,1.033248,13.456334,1,
llvmss_stanford_oscar,jit,wasm-jit,2,1.44886,19.38303,1,
llvmss_stanford_oscar,aot,native,1,0.61069,5.451021,1,
llvmss_stanford_oscar,aot,wasm-aot,1,1.442484,14.606505,1,
llvmss_stanford_oscar,aot,native,2,0.596147,5.697498,1,
llvmss_stanford_oscar,aot,wasm-aot,2,1.370713,16.278049,1,
llvmss_stanford_perm,jit,native,1,9.63688,21.322056,1,
llvmss_stanford_perm,jit,wasm-jit,1,35.589117,49.295869,1,
llvmss_stanford_perm,jit,native,2,9.234558,17.496427,1,
llvmss_stanford_perm,jit,wasm-jit,2,24.855975,43.085391,1,
llvmss_stanford_perm,aot,native,1,9.793714,20.53857,1,
llvmss_stanford_perm,aot,wasm-aot,1,26.107941,42.374097,1,
llvmss_stanford_perm,aot,native,2,11.387989,43.084615,1,
llvmss_stanford_perm,aot,wasm-aot,2,30.488022,49.979481,1,
llvmss_stanford_puzzle,jit,native,1,75.9498,84.338165,1,
llvmss_stanford_puzzle,jit,wasm-jit,1,106.9113,121.819973,1,
llvmss_stanford_puzzle,jit,native,2,74.827355,83.913804,1,
llvmss_stanford_puzzle,jit,wasm-jit,2,84.58888,101.656138,1,
llvmss_stanford_puzzle,aot,native,1,59.283727,70.655372,1,
llvmss_stanford_puzzle,aot,wasm-aot,1,75.949876,91.573667,1,
llvmss_stanford_puzzle,aot,native,2,56.236416,62.899827,1,
llvmss_stanford_puzzle,aot,wasm-aot,2,71.611663,84.14123,1,
llvmss_stanford_queens,jit,native,1,5.502676,16.240083,1,
llvmss_stanford_queens,jit,wasm-jit,1,16.020718,28.424845,1,
llvmss_stanford_queens,jit,native,2,5.711132,16.169285,1,
llvmss_stanford_queens,jit,wasm-jit,2,18.852932,31.426298,1,
llvmss_stanford_queens,aot,native,1,5.443607,13.637237,1,
llvmss_stanford_queens,aot,wasm-aot,1,18.339518,35.762317,1,
llvmss_stanford_queens,aot,native,2,5.669468,15.117094,1,
llvmss_stanford_queens,aot,wasm-aot,2,18.357934,30.204729,1,
llvmss_stanford_quicksort,jit,native,1,32.088687,38.873422,1,
llvmss_stanford_quicksort,jit,wasm-jit,1,42.245034,60.321961,1,
llvmss_stanford_quicksort,jit,native,2,34.816197,42.885674,1,
llvmss_stanford_quicksort,jit,wasm-jit,2,37.695579,53.003222,1,
llvmss_stanford_quicksort,aot,native,1,54.230473,63.751097,1,
llvmss_stanford_quicksort,aot,wasm-aot,1,44.58343,69.228042,1,
llvmss_stanford_quicksort,aot,native,2,35.529435,43.652119,1,
llvmss_stanford_quicksort,aot,wasm-aot,2,38.613704,54.170491,1,
llvmss_stanford_realmm,jit,native,1,0.553655,7.232936,1,
llvmss_stanford_realmm,jit,wasm-jit,1,0.835878,19.390755,1,
llvmss_stanford_realmm,jit,native,2,0.527682,9.524921,1,
llvmss_stanford_realmm,jit,wasm-jit,2,0.773411,18.175003,1,
llvmss_stanford_realmm,aot,native,1,0.744514,9.209598,1,
llvmss_stanford_realmm,aot,wasm-aot,1,2.382007,21.52432,1,
llvmss_stanford_realmm,aot,native,2,0.569403,6.824401,1,
llvmss_stanford_realmm,aot,wasm-aot,2,0.757994,17.917147,1,
llvmss_stanford_towers,jit,native,1,16.066704,21.927489,1,
llvmss_stanford_towers,jit,wasm-jit,1,16.038131,32.14684,1,
llvmss_stanford_towers,jit,native,2,16.955833,26.234411,1,
llvmss_stanford_towers,jit,wasm-jit,2,33.784236,58.197878,1,
llvmss_stanford_towers,aot,native,1,20.855795,34.645482,1,
llvmss_stanford_towers,aot,wasm-aot,1,18.979796,36.799052,1,
llvmss_stanford_towers,aot,native,2,8.801108,18.484018,1,
llvmss_stanford_towers,aot,wasm-aot,2,13.64344,27.02638,1,
llvmss_stanford_treesort,jit,native,1,61.193243,72.701834,1,
llvmss_stanford_treesort,jit,wasm-jit,1,52.662937,70.491837,1,
llvmss_stanford_treesort,jit,native,2,57.057129,68.104487,1,
llvmss_stanford_treesort,jit,wasm-jit,2,51.452061,65.948376,1,
llvmss_stanford_treesort,aot,native,1,59.214548,73.17963,1,
llvmss_stanford_treesort,aot,wasm-aot,1,51.531178,71.90677,1,
llvmss_stanford_treesort,aot,native,2,62.503835,71.370598,1,
llvmss_stanford_treesort,aot,wasm-aot,2,59.8345,78.51728,1,
