static_feature,perf_ratio,n,spearman_rho,p_value,abs_rho,fdr_q,fdr_sig_0.05,fdr_sig_0.10
load_store_ratio,ratio_branches_retired_over_native,52,0.08053699288657212,0.5703296603932038,0.08053699288657212,0.6726965225150608,False,False
memory_instr_count,ratio_conditional_branches_over_native,52,-0.07747241298477328,0.5851329028118194,0.07747241298477328,0.6857608542507947,False,False
compute_to_memory_ratio,ratio_all_stores_retired_over_native,52,-0.07279253489413023,0.6080664056348111,0.07279253489413023,0.7061090270918554,False,False
loop_count,ratio_branch_misses_over_native,52,-0.07236711037192163,0.6101703005848098,0.07236711037192163,0.7061090270918554,False,False
call_instr_count,ratio_cpu_cycles_over_native,52,-0.06412180962306697,0.6515470976795136,0.06412180962306697,0.7492791623314407,False,False
max_loop_depth,ratio_branch_misses_over_native,52,0.06162351252319564,0.6643000175486311,0.06162351252319564,0.758441224551711,False,False
alloc_call_count,ratio_instructions_retired_over_native,52,0.060949300140174995,0.6677580346596587,0.060949300140174995,0.758441224551711,False,False
call_instr_count,ratio_all_loads_retired_over_native,52,-0.05813710739158073,0.6822548804599685,0.05813710739158073,0.7701527484946883,False,False
compute_instr_count,ratio_conditional_branches_over_native,52,0.0566642774540555,0.6898933385626338,0.0566642774540555,0.7740266725336867,False,False
call_instr_count,ratio_all_stores_retired_over_native,52,0.053092858367899454,0.7085419676968243,0.053092858367899454,0.7901316488255495,False,False
store_count,ratio_branches_retired_over_native,52,0.04944842481211281,0.7277480434684935,0.04944842481211281,0.8066604819168844,False,False
max_loop_depth,ratio_conditional_branches_over_native,52,0.04466291274616932,0.7532198372988513,0.04466291274616932,0.8274839843479127,False,False
load_count,ratio_branches_retired_over_native,52,0.044231606770234765,0.7555288552741811,0.044231606770234765,0.8274839843479127,False,False
store_count,ratio_conditional_branches_over_native,52,0.04219944107002298,0.7664363607681359,0.04219944107002298,0.8344632566943019,False,False
compute_instr_count,ratio_branch_misses_over_native,52,0.03794711793303264,0.789403870357642,0.03794711793303264,0.8544136008576831,False,False
memory_instr_count,ratio_branches_retired_over_native,52,0.03437517662238284,0.8088354990132338,0.03437517662238284,0.8703259170668715,False,False
load_count,ratio_branch_misses_over_native,52,-0.03251065874794819,0.8190250122441646,0.03251065874794819,0.8723878447806069,False,False
compute_density,ratio_all_stores_retired_over_native,52,-0.03228975853317268,0.8202342236252446,0.03228975853317268,0.8723878447806069,False,False
compute_to_memory_ratio,ratio_conditional_branches_over_native,52,0.031184595347837477,0.8262900752187949,0.031184595347837477,0.873778010576197,False,False
hostcall_count,ratio_all_stores_retired_over_native,52,0.028874439841382257,0.8389808177640541,0.028874439841382257,0.882128402677634,False,False
load_store_ratio,ratio_all_loads_retired_over_native,52,0.026418185564703593,0.8525187522938098,0.026418185564703593,0.8912696046708011,False,False
compute_density,ratio_all_loads_retired_over_native,52,0.02340580380446908,0.8691791529764858,0.02340580380446908,0.9035534697608666,False,False
branch_density,ratio_branches_retired_over_native,52,-0.017084528324429988,0.9043150821284079,0.017084528324429988,0.9308951927933428,False,False
load_count,ratio_L1_icache_load_misses_over_native,52,-0.01685420992985735,0.9055991277717845,0.01685420992985735,0.9308951927933428,False,False
hostcall_count,ratio_all_loads_retired_over_native,52,0.012199231422346912,0.9315979100751235,0.012199231422346912,0.9523000858545707,False,False
alloc_call_count,ratio_branches_retired_over_native,52,0.010466041438211868,0.9412976168593569,0.010466041438211868,0.9568992348183517,False,False
hostcall_density,ratio_branch_misses_over_native,52,-0.004528174119001058,0.9745840926374105,0.004528174119001058,0.9852938079411184,False,False
alloc_call_count,ratio_cpu_cycles_over_native,52,0.0018469484890962123,0.9896319599169833,0.0018469484890962123,0.9947241723339364,False,False
compute_to_memory_ratio,ratio_all_loads_retired_over_native,52,-0.0009398097228115404,0.9947241723339364,0.0009398097228115404,0.9947241723339364,False,False
