static_feature,perf_ratio,wasmtime_spearman_rho,wasmtime_p_value,wasmtime_fdr_q,wasmtime_fdr_sig_0.10,wasmer_spearman_rho,wasmer_p_value,wasmer_fdr_q,wasmer_fdr_sig_0.10,max_abs_rho
call_instr_count,ratio_conditional_branches_over_native,-0.3422394718948495,0.0130124410493805,0.0368160965311585,True,-0.2817939793568383,0.0429839432673063,0.0767868501085861,True,0.3422394718948495
max_loop_depth,ratio_branches_retired_over_native,0.3403427021923282,0.0135575510354868,0.0372326774705907,True,0.3108501036911658,0.024898854524834,0.0488314744725142,True,0.3403427021923282
avg_bb_out_degree,ratio_all_stores_retired_over_native,-0.2972254078642659,0.0323677260161851,0.0676779725792962,True,-0.3284487385801289,0.0174413844388704,0.0382049373422877,True,0.3284487385801289
memory_access_density,ratio_branch_misses_over_native,-0.3259430993205479,0.018370281452042,0.0469462748218851,True,-0.314836257141866,0.0230094806000296,0.0475701621393871,True,0.3259430993205479
hostcall_density,ratio_all_stores_retired_over_native,0.3162032531023191,0.0223900005106029,0.0549301345860126,True,0.3220129859342451,0.0199117075812226,0.043051172647329,True,0.3220129859342451
max_loop_depth,ratio_instructions_retired_over_native,0.2657160631734124,0.0569219859496533,0.1057943981286485,False,0.3214975913289656,0.0201217437373385,0.043051172647329,True,0.3214975913289656
avg_bb_size,ratio_branch_misses_over_native,0.3191389891003521,0.0211070079788809,0.05248229010965,True,0.315038702302489,0.0229168384150739,0.0475701621393871,True,0.3191389891003521
compute_to_memory_ratio,ratio_L1_icache_load_misses_over_native,0.1867658230969115,0.1849231628294713,0.2812054707489481,False,0.315092568884451,0.0228922411730724,0.0475701621393871,True,0.315092568884451
compute_density,ratio_branch_misses_over_native,0.3138427853197788,0.0234686929580572,0.0556497481728028,True,0.215948438020795,0.1241520629901388,0.1895845493850102,False,0.3138427853197788
compute_to_memory_ratio,ratio_instructions_retired_over_native,0.2986031801114849,0.0315365270725348,0.0666979423143266,True,0.3136401356764696,0.0235633044224121,0.0481738668191537,True,0.3136401356764696
function_count,ratio_branch_misses_over_native,-0.2778372991206189,0.0461231069464928,0.0902835284910072,True,-0.3126107567974429,0.0240488617921353,0.0482952548307491,True,0.3126107567974429
loop_count,ratio_conditional_branches_over_native,0.1737505651186594,0.2179972538308906,0.3158385409833376,False,0.3124035160833496,0.0241476274153745,0.0482952548307491,True,0.3124035160833496
alloc_call_count,ratio_branch_misses_over_native,-0.3072090986863366,0.0267368225312009,0.0607354980955675,True,-0.2850457168171821,0.0405371122762648,0.0731257711650268,True,0.3072090986863366
compute_density,ratio_cpu_cycles_over_native,0.3039337588916094,0.0284859672735272,0.0631496141967351,True,0.2590014493983586,0.0637304229097956,0.1085777575500222,False,0.3039337588916094
branch_density,ratio_conditional_branches_over_native,0.2461880531550361,0.0785230236374251,0.1374901357996157,False,0.303079532475388,0.0289575465714436,0.0560861954646908,True,0.303079532475388
compute_to_memory_ratio,ratio_cpu_cycles_over_native,0.3021061072601461,0.0295028545908723,0.064625300532387,True,0.2725448196153467,0.0506121836133993,0.0878551111779761,True,0.3021061072601461
memory_instr_count,ratio_cpu_cycles_over_native,0.2494338064862954,0.0745418773723073,0.131881783043313,False,0.299628405186143,0.0309296010417348,0.0592817353299917,True,0.299628405186143
load_count,ratio_all_stores_retired_over_native,-0.2988413973857448,0.0313946281511437,0.0666979423143266,True,-0.2885748735706032,0.0380122847883771,0.0699426040106139,True,0.2988413973857448
call_instr_count,ratio_L1_icache_load_misses_over_native,-0.2323774380739947,0.097369484715495,0.1614052719608205,False,-0.2954732987430926,0.0334509653604972,0.0634533775910462,True,0.2954732987430926
avg_bb_out_degree,ratio_instructions_retired_over_native,0.2735922790903805,0.0496966385839041,0.0952518906191496,True,0.2929127931245058,0.0350879337143887,0.0656704955939923,True,0.2929127931245058
ir_instruction_count,ratio_branches_retired_over_native,0.2908283905864076,0.0364689802137645,0.0753965433632884,True,0.0936392232910407,0.5090737262082004,0.616247142252032,False,0.2908283905864076
avg_bb_out_degree,ratio_branch_misses_over_native,-0.2860126095408896,0.039832047025112,0.0814344072513401,True,-0.2573768476688826,0.0654720095121798,0.1096417107802624,False,0.2860126095408896
load_store_ratio,ratio_all_stores_retired_over_native,0.1850982904452533,0.1889468182801098,0.2849689718322968,False,0.2851283134572379,0.0404764842500168,0.0731257711650268,True,0.2851283134572379
avg_bb_out_degree,ratio_all_loads_retired_over_native,-0.2816999948011295,0.0430564243269448,0.0861128486538897,True,-0.2327086913574548,0.0968797499791919,0.1510667287811128,False,0.2816999948011295
store_count,ratio_branch_misses_over_native,-0.2810707148569832,0.043544310383071,0.0861521839837104,True,-0.206250846947556,0.1423853174418797,0.2129991740593973,False,0.2810707148569832
function_count,ratio_branches_retired_over_native,0.2698665569327323,0.0530155721465181,0.1005656213913333,False,0.0704228210885805,0.6198251908005423,0.7130727014192944,False,0.2698665569327323
load_store_ratio,ratio_branch_misses_over_native,0.2685421387014045,0.0542377749978511,0.1018341897918838,False,0.202026448185743,0.1509235639301313,0.2221594861051533,False,0.2685421387014045
ir_instruction_count,ratio_conditional_branches_over_native,0.1126062922423282,0.4267246666051514,0.5234489243689857,False,0.2609253539514949,0.0617161774677574,0.1061287537763304,False,0.2609253539514949
compute_density,ratio_L1_icache_load_misses_over_native,0.178362475707049,0.2058365595589945,0.3054348948294758,False,0.2567804607161827,0.0661208075753534,0.1096417107802624,False,0.2567804607161827
alloc_call_count,ratio_all_loads_retired_over_native,-0.2234807671806416,0.1112537499847577,0.1795210490357981,False,-0.2567258399843735,0.0661804842600028,0.1096417107802624,False,0.2567258399843735
store_count,ratio_conditional_branches_over_native,0.0421994410700229,0.7664363607681359,0.8344632566943019,False,0.2562170563126753,0.0667384326488553,0.1096417107802624,False,0.2562170563126753
hostcall_count,ratio_L1_icache_load_misses_over_native,-0.255920567104774,0.0670653000205977,0.1209805412136273,False,-0.2217802719731701,0.1140719907642903,0.1763802210136926,False,0.255920567104774
compute_density,ratio_instructions_retired_over_native,0.2496049588199221,0.0743364699760378,0.131881783043313,False,0.2434545286231273,0.0820044076985082,0.130075957039013,False,0.2496049588199221
alloc_call_count,ratio_conditional_branches_over_native,-0.2456441490497962,0.0792062738845612,0.1374901357996157,False,-0.0363233202855588,0.7982224757715577,0.8539124159416663,False,0.2456441490497962
branch_density,ratio_cpu_cycles_over_native,0.1284756529997135,0.3640369887405428,0.4587863419743827,False,0.2444796003225931,0.0806849357203072,0.130075957039013,False,0.2444796003225931
branch_density,ratio_instructions_retired_over_native,0.1679409134291468,0.2340170060853472,0.3300534846046867,False,0.2437962191896159,0.0815627116168012,0.130075957039013,False,0.2437962191896159
